order_id,customer_id,order_date,order_status
OR5746,CU0595,2024-01-11,Succeed
OR7171,CU5873,2023-10-23,Pending
OR2466,CU8659,2023-12-07,Pending
OR3283,CU7339,2024-01-29,Processing
OR3061,CU0595,2024-02-16,Pending
OR7806,CU9470,2023-10-08,Pending
OR2051,CU8051,2023-11-20,Succeed
OR1444,CU0595,2023-10-25,Succeed
OR0845,CU1218,2024-02-27,Pending
OR2128,CU7862,2024-02-18,Processing
OR6288,CU4715,2024-02-24,Cancelled
OR1145,CU8247,2023-10-25,Processing
OR5797,CU1217,2023-09-16,Succeed
OR3008,CU4715,2023-12-25,Processing
OR7263,CU9045,2023-10-12,Succeed
OR5543,CU9326,2024-01-03,Succeed
OR0956,CU8764,2023-11-26,Succeed
OR0028,CU3912,2024-01-21,Succeed
OR5529,CU7632,2024-02-29,Processing
OR0596,CU8636,2024-02-29,Succeed
OR4499,CU5381,2024-01-19,Cancelled
OR2115,CU0149,2023-10-04,Cancelled
OR9020,CU8152,2023-10-28,Processing
OR6725,CU9857,2023-11-08,Processing
OR3822,CU7908,2023-09-10,Processing
OR8384,CU8659,2023-09-08,Cancelled
OR5694,CU5097,2023-12-26,Pending
OR8120,CU8247,2023-09-06,Pending
OR3202,CU0041,2023-10-08,Cancelled
OR9913,CU3705,2023-10-15,Succeed
OR4131,CU5458,2023-12-12,Pending
OR6165,CU7967,2024-01-02,Cancelled
OR7507,CU5931,2023-12-03,Pending
OR7954,CU5381,2023-12-23,Succeed
OR6320,CU0149,2024-01-28,Cancelled
OR8486,CU9326,2024-02-16,Cancelled
OR7112,CU4715,2023-10-30,Succeed
OR9187,CU1232,2023-09-13,Cancelled
OR0696,CU3531,2023-11-16,Pending
OR9774,CU3812,2023-11-28,Succeed
OR2238,CU9953,2023-10-10,Pending
OR7092,CU4521,2023-10-30,Pending
OR6362,CU7632,2023-11-15,Pending
OR6203,CU0298,2023-11-11,Processing
OR7084,CU4521,2024-02-27,Cancelled
OR9757,CU3172,2024-01-18,Succeed
OR5639,CU6316,2024-01-07,Cancelled
OR7965,CU8051,2024-02-02,Cancelled
OR5477,CU5097,2023-11-09,Processing
OR4284,CU1936,2023-12-17,Cancelled
OR9519,CU4740,2023-09-08,Pending
OR1592,CU7967,2023-09-24,Processing
OR0481,CU9045,2024-02-07,Cancelled
OR6637,CU0214,2023-09-21,Succeed
OR8859,CU3424,2023-09-26,Processing
OR0205,CU8743,2024-02-29,Cancelled
OR3830,CU3912,2024-01-03,Pending
OR6497,CU3162,2023-12-28,Pending
OR4204,CU7632,2023-11-22,Cancelled
OR0707,CU8659,2024-02-24,Succeed
OR8243,CU0595,2024-01-06,Pending
OR1695,CU0140,2023-11-14,Cancelled
OR2572,CU5774,2023-12-28,Cancelled
OR7680,CU7862,2024-01-14,Succeed
OR2254,CU0352,2023-12-14,Processing
OR2140,CU7676,2023-12-19,Cancelled
OR8657,CU7862,2023-09-19,Succeed
OR7041,CU9577,2023-10-01,Processing
OR6387,CU3846,2023-11-09,Succeed
OR7060,CU0266,2024-01-01,Processing
OR7063,CU3424,2024-01-31,Cancelled
OR7290,CU3360,2023-10-29,Succeed
OR2339,CU8356,2023-10-31,Cancelled
OR0177,CU3172,2024-02-22,Cancelled
OR0548,CU0657,2023-10-20,Cancelled
OR4780,CU0149,2023-11-05,Processing
OR0995,CU4580,2024-01-06,Processing
OR6219,CU7339,2023-12-08,Pending
OR5243,CU0349,2024-02-02,Succeed
OR1844,CU0869,2023-12-27,Succeed
OR9097,CU5873,2024-02-25,Succeed
OR4672,CU1000,2023-11-28,Pending
OR8645,CU4521,2023-11-10,Pending
OR1506,CU5119,2024-02-02,Pending
OR4148,CU9577,2023-10-03,Succeed
