product_id,category_id,product_name,product_price,discount_percentage,rate_value
PR8894,CT1002-623,Gaming Laptop,396.41,0.03,4.6
PR3108,CT1001-103,Trench Coat,1582.36,0.98,2.2
PR0267,CT1004-771,Dining Set,3070.93,0.2,5.0
PR0122,CT1001-865,Summer Dress,3186.64,0.37,1.2
PR7884,CT1003-935,Historical Biography,2978.76,0.76,3.3
PR1733,CT1003-799,Mathematics Textbook,1968.94,0.87,2.5
PR2275,CT1002-623,Ultrabook,602.68,0.04,2.6
PR5132,CT1003-799,Language Workbook,2493.46,0.77,1.9
PR8387,CT1001-103,Windbreaker,3092.9,0.66,4.3
PR8525,CT1002-623,Ultrabook,1165.05,0.72,2.7
PR6085,CT1003-799,Science Textbook,3338.69,0.93,2.0
PR7330,CT1003-056,Mystery Novel,1887.39,0.57,3.0
PR2612,CT1001-103,Puffer Jacket,2424.92,0.53,4.9
PR7365,CT1002-517,Camera Lens,3049.47,0.57,4.0
PR0986,CT1005-472,Brain Teaser,2278.48,0.44,1.1
PR6169,CT1005-089,Learning Tablet,2067.74,0.41,4.1
PR8792,CT1001-103,Leather Jacket,1618.59,0.06,4.8
PR4200,CT1001-865,Summer Dress,3313.6,0.16,2.6
PR8215,CT1001-546,Cargo Pants,3587.8,0.01,2.1
PR8730,CT1004-209,Gardening Gloves,4314.78,0.13,4.3
PR8357,CT1005-329,Language Learning Toy,3647.61,0.92,3.2
PR7797,CT1001-546,Sweatpants,604.11,0.75,3.6
PR2975,CT1001-103,Windbreaker,2232.99,0.18,4.1
PR5866,CT1005-329,Math Game,1176.92,0.86,4.1
PR4994,CT1001-103,Leather Jacket,4746.91,0.3,4.8
PR3156,CT1002-517,Camera Lens,3616.88,0.51,1.6
PR6125,CT1002-517,Portable Charger,3112.22,0.87,4.2
PR9602,CT1004-475,Cordless Drill,3040.97,0.75,5.0
PR2124,CT1004-475,Screwdriver Set,2727.41,0.48,1.4
PR3517,CT1003-056,Science Fiction Novel,4980.88,0.18,2.6
PR2511,CT1004-209,Plant Pots,1748.84,0.33,1.5
PR0838,CT1002-150,Touchscreen Phone,3975.85,0.77,3.7
PR9740,CT1004-752,Wall Art,3608.24,0.48,3.2
PR8044,CT1002-517,Headphones,4918.0,0.94,1.2
PR2217,CT1004-475,Screwdriver Set,2828.34,0.65,3.1
PR2292,CT1005-648,Family Game,2943.35,0.02,3.9
PR0200,CT1002-623,Gaming Laptop,2055.94,0.19,3.5
PR5790,CT1001-208,Casual Shirt,1867.88,0.72,2.4
