supplier_id,supplier_name,supplier_email,supplier_zip_code,supplier_country,supplier_state,supplier_city,supplier_street
SU0454,Keller Ltd,briannatorres@example.org,51142,Montenegro,New Mexico,Lake Amandachester,77637 Wolf Valleys
SU3047,Green-Duke,beasleydanielle@example.org,61509,Mexico,Illinois,West Troyburgh,19501 Pamela Grove
SU2545,Carey-Wilson,frederickdanielle@example.org,76466,Cameroon,California,Nicoleborough,7521 Kirk Summit Suite 712
SU3336,Wilson and Sons,qlowe@example.org,93041,North Macedonia,Maryland,Fergusonstad,486 Zachary Gateway Apt. 277
SU7830,"Greer, Willis and Goodwin",melissa83@example.org,31787,Wallis and Futuna,Ohio,Bridgetville,950 Samantha Groves
SU5534,"Wheeler, David and Hunt",andersonheather@example.net,14634,United States of America,New Mexico,Russellmouth,0753 Ashley Forest Suite 542
SU5030,"Rodriguez, Craig and Kirk",stokessarah@example.com,96994,Tonga,New Hampshire,Port Tiffanyfurt,2474 Matthew Tunnel
SU4734,Carey Group,dgardner@example.com,20836,Romania,Nevada,Virginialand,84932 Joshua Alley Suite 591
SU2738,Ray PLC,john61@example.net,46284,Central African Republic,New Mexico,Jeffersonborough,745 Nicholson Views Apt. 121
SU4246,Ayers and Sons,andrewfranklin@example.org,39617,Djibouti,Texas,New Sarahburgh,58644 Dawn Springs
SU0320,Cameron-Wilson,alex58@example.org,23311,Congo,Tennessee,Rittershire,1922 Michael Track Apt. 180
SU2558,Gonzalez Inc,mwalker@example.net,02865,Slovakia (Slovak Republic),Utah,Adammouth,25870 James Fork Suite 229
SU7874,Ingram-Mooney,bcarpenter@example.org,36396,Saint Vincent and the Grenadines,Rhode Island,Port Timothyport,5052 Jillian Spur Suite 927
SU1904,Torres LLC,halljohn@example.org,09482,Niger,New Jersey,Timothybury,8792 Emily Flat
SU3311,Hayes Ltd,wwalker@example.org,76312,Cayman Islands,Virginia,West Annashire,7329 Smith Road Suite 167
SU2961,Russell and Sons,rwalls@example.net,79351,Botswana,Idaho,Rothstad,346 James Corners
SU8909,Stewart-Joseph,johncastro@example.com,88029,Kuwait,Georgia,Andrewmouth,612 Wells Groves Suite 177
SU3963,"Henry, Porter and Montgomery",hannah62@example.net,77359,Falkland Islands (Malvinas),Tennessee,Javierberg,1693 Gibson Via Suite 171
SU9320,Lloyd Inc,stephen69@example.org,88617,Netherlands Antilles,Rhode Island,Lake Ian,152 Valdez Divide
SU8172,"Navarro, Howard and Spencer",charlene96@example.org,90224,Hong Kong,Ohio,Riveraland,5776 Alex Trace
SU8901,Smith-Peterson,mariahunter@example.net,52565,Vietnam,New York,Lake Josephton,4810 Phillips Mountains Suite 794
SU6807,Brown-Cobb,xking@example.org,40616,Madagascar,Colorado,Morenotown,34239 Katie Vista
SU1660,Lozano-Barnes,shelley88@example.net,40166,Bangladesh,New Mexico,East Jessica,55808 Andrew Viaduct
SU8420,"Heath, Carter and Mercer",johnsonlauren@example.net,82316,Cook Islands,Delaware,Josephbury,5054 Heidi Drive
SU6139,"Odom, Ballard and Sampson",faulkneralejandra@example.org,89305,Montserrat,Nevada,South Michaelton,2040 Foster Ford Suite 739
SU2354,Fuller-Garcia,denisecain@example.net,74441,Bermuda,Florida,North Jeffreybury,2401 Joseph Points
SU4504,Ayala-Mejia,johnjohnson@example.net,06605,South Africa,Ohio,South Matthewside,02179 Johnson Mountain Apt. 265
SU0621,"King, Park and David",debbiemorse@example.com,76985,Saint Barthelemy,Florida,West Debbie,4718 Ashley Locks Suite 839
