transaction_id,order_id,customer_id,transaction_time,payment_method,transaction_status
TR9334,OR4021,CU3812,2023-12-06 03:05:10,PayPal,Failed
TR4265,OR3809,CU2873,2023-09-06 09:33:30,PayPal,Pending
TR8521,OR0719,CU9986,2023-09-12 03:22:25,PayPal,Succeed
TR7147,OR9855,CU1060,2023-11-05 07:42:41,Credit Card,Succeed
TR1401,OR0544,CU4157,2024-02-13 16:50:20,Debit Card,Processing
TR8243,OR5922,CU1218,2023-11-30 02:13:57,PayPal,Processing
TR7589,OR8698,CU8636,2024-01-02 04:09:48,Debit Card,Failed
TR8337,OR4530,CU1060,2024-02-27 21:48:06,Credit Card,Processing
TR6341,OR7050,CU5119,2024-02-29 12:29:51,Credit Card,Succeed
TR9148,OR4820,CU5023,2023-10-16 09:07:42,Credit Card,Processing
TR1770,OR5438,CU3320,2023-12-28 09:08:32,Credit Card,Succeed
TR4820,OR2899,CU0266,2023-12-26 00:55:33,PayPal,Processing
TR2695,OR4016,CU1067,2023-10-29 21:24:27,Credit Card,Processing
TR3703,OR9632,CU7728,2024-01-12 12:35:24,Debit Card,Succeed
TR5753,OR1988,CU3360,2023-12-06 13:34:00,PayPal,Failed
TR5953,OR8650,CU9045,2024-02-03 01:11:28,Credit Card,Processing
TR4123,OR9654,CU8659,2024-01-06 15:49:10,Debit Card,Processing
TR5342,OR2193,CU7908,2023-11-18 15:21:52,PayPal,Pending
TR3422,OR0246,CU0214,2024-01-03 16:26:41,Credit Card,Succeed
TR7072,OR9339,CU3737,2024-02-13 07:15:08,PayPal,Pending
TR3850,OR8405,CU1607,2023-12-23 21:29:16,Credit Card,Pending
TR7225,OR4301,CU2485,2023-09-30 16:27:58,Credit Card,Processing
TR1166,OR7679,CU8152,2023-09-01 14:51:27,Credit Card,Failed
TR7726,OR9198,CU0140,2024-01-01 16:34:51,Debit Card,Pending
TR5673,OR4808,CU6316,2023-09-30 19:00:26,PayPal,Failed
TR1194,OR3216,CU8307,2023-11-22 10:40:34,PayPal,Failed
TR0845,OR2635,CU3016,2023-12-25 05:56:57,Debit Card,Pending
TR6828,OR8814,CU1217,2024-02-16 08:34:24,PayPal,Pending
TR7237,OR2386,CU8247,2023-10-09 19:28:37,PayPal,Pending
TR7665,OR3858,CU0928,2023-10-19 09:53:07,PayPal,Processing
TR2255,OR0156,CU6023,2023-09-01 02:37:25,PayPal,Succeed
TR6655,OR4914,CU8181,2024-02-23 12:39:35,Credit Card,Succeed
TR5198,OR2867,CU5774,2023-12-18 22:19:36,Debit Card,Succeed
TR1475,OR6312,CU1446,2023-11-21 01:21:26,PayPal,Pending
TR9194,OR8456,CU8307,2023-11-25 22:15:40,Credit Card,Failed
TR9832,OR2459,CU3846,2024-01-17 23:45:54,PayPal,Succeed
TR6857,OR7719,CU0170,2023-12-04 08:54:15,Debit Card,Pending
TR1313,OR4131,CU5119,2023-09-23 17:03:34,Debit Card,Pending
TR0163,OR8908,CU1170,2024-02-27 15:05:35,Credit Card,Succeed
TR3148,OR1807,CU4715,2023-11-24 19:17:09,Debit Card,Succeed
TR6296,OR9527,CU5515,2024-02-06 05:26:21,Credit Card,Processing
TR4568,OR4515,CU4715,2023-11-02 21:00:10,Debit Card,Pending
TR6405,OR8200,CU3912,2024-01-19 23:05:18,Credit Card,Succeed
TR9938,OR4545,CU1607,2023-12-17 06:10:05,Credit Card,Processing
TR2269,OR7010,CU7723,2023-10-16 09:05:53,PayPal,Pending
TR3911,OR8590,CU5023,2023-12-05 21:31:36,PayPal,Failed
TR5858,OR3218,CU1936,2024-02-13 06:41:58,Credit Card,Failed
TR7675,OR3820,CU2485,2023-12-19 19:44:57,Credit Card,Failed
TR7151,OR7928,CU5931,2024-01-26 21:45:24,PayPal,Processing
TR0208,OR4258,CU3205,2023-11-24 11:19:25,Debit Card,Failed
TR8188,OR9347,CU0266,2024-02-25 09:09:07,Credit Card,Failed
TR8020,OR0820,CU3531,2024-01-01 06:49:11,Credit Card,Failed
TR3675,OR6404,CU6349,2024-02-03 11:46:55,Credit Card,Pending
TR5511,OR7319,CU1218,2023-11-12 19:50:32,PayPal,Processing
TR7949,OR2676,CU1067,2023-10-29 03:24:44,PayPal,Processing
TR8913,OR9969,CU8247,2023-11-28 19:30:26,Credit Card,Pending
TR0104,OR7536,CU1060,2023-12-01 13:06:58,PayPal,Succeed
TR9547,OR3632,CU1607,2024-01-12 12:40:51,PayPal,Failed
TR7096,OR8992,CU3205,2024-02-06 12:57:47,PayPal,Processing
